 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC__(ICRF),      Illu%,  ObsSub-LON, ObsSub-LAT,  SunSub-LON, SunSub-LAT,    NP.ang,  NP.dist,     S-T-O,
***********************************************************************************************************************************************
$$SOE
 2052-Jan-06 06:00, , , 22 21 41.15, -06 30 42.9,   17.97638,  355.431573,  -4.526961,  125.268436,   1.518226,  337.5439, -941.663,  129.8308,
 2052-Jan-06 07:00, , , 22 23 50.78, -06 20 29.1,   18.32483,  355.445495,  -4.479849,  124.761084,   1.518150,  337.4419, -942.023,  129.3127,
 2052-Jan-06 08:00, , , 22 26 00.40, -06 10 13.0,   18.67611,  355.459657,  -4.432275,  124.253742,   1.518076,  337.3419, -942.383,  128.7944,
 2052-Jan-06 09:00, , , 22 28 10.00, -05 59 54.6,   19.03019,  355.474058,  -4.384244,  123.746409,   1.518002,  337.2440, -942.742,  128.2756,
 2052-Jan-06 10:00, , , 22 30 19.60, -05 49 34.0,   19.38705,  355.488698,  -4.335758,  123.239087,   1.517929,  337.1482, -943.101,  127.7566,
 2052-Jan-06 11:00, , , 22 32 29.18, -05 39 11.1,   19.74666,  355.503576,  -4.286823,  122.731774,   1.517857,  337.0544, -943.458,  127.2372,
 2052-Jan-06 12:00, , , 22 34 38.77, -05 28 46.2,   20.10899,  355.518693,  -4.237442,  122.224471,   1.517787,  336.9628, -943.815,  126.7174,
 2052-Jan-06 13:00, , , 22 36 48.34, -05 18 19.2,   20.47403,  355.534047,  -4.187620,  121.717178,   1.517717,  336.8733, -944.171,  126.1973,
 2052-Jan-06 14:00, , , 22 38 57.92, -05 07 50.2,   20.84173,  355.549638,  -4.137361,  121.209895,   1.517649,  336.7859, -944.526,  125.6769,
 2052-Jan-06 15:00, , , 22 41 07.50, -04 57 19.2,   21.21208,  355.565467,  -4.086670,  120.702622,   1.517581,  336.7006, -944.881,  125.1561,
 2052-Jan-06 16:00, , , 22 43 17.07, -04 46 46.3,   21.58505,  355.581532,  -4.035550,  120.195359,   1.517515,  336.6175, -945.234,  124.6350,
 2052-Jan-06 17:00, , , 22 45 26.66, -04 36 11.6,   21.96061,  355.597834,  -3.984007,  119.688107,   1.517450,  336.5365, -945.587,  124.1135,
 2052-Jan-06 18:00, , , 22 47 36.25, -04 25 35.1,   22.33874,  355.614373,  -3.932044,  119.180865,   1.517386,  336.4576, -945.938,  123.5918,
 2052-Jan-06 19:00, , , 22 49 45.84, -04 14 56.8,   22.71940,  355.631148,  -3.879668,  118.673633,   1.517323,  336.3810, -946.289,  123.0697,
 2052-Jan-06 20:00, , , 22 51 55.45, -04 04 16.9,   23.10256,  355.648159,  -3.826881,  118.166412,   1.517261,  336.3065, -946.639,  122.5472,
 2052-Jan-06 21:00, , , 22 54 05.07, -03 53 35.3,   23.48820,  355.665406,  -3.773689,  117.659201,   1.517201,  336.2342, -946.987,  122.0245,
 2052-Jan-06 22:00, , , 22 56 14.71, -03 42 52.2,   23.87630,  355.682889,  -3.720097,  117.152001,   1.517142,  336.1640, -947.335,  121.5014,
 2052-Jan-06 23:00, , , 22 58 24.36, -03 32 07.5,   24.26681,  355.700608,  -3.666109,  116.644812,   1.517084,  336.0961, -947.681,  120.9780,
 2052-Jan-07 00:00, , , 23 00 34.04, -03 21 21.4,   24.65971,  355.718564,  -3.611731,  116.137633,   1.517027,  336.0304, -948.027,  120.4542,
 2052-Jan-07 01:00, , , 23 02 43.73, -03 10 33.8,   25.05497,  355.736756,  -3.556966,  115.630466,   1.516972,  335.9669, -948.371,  119.9302,
 2052-Jan-07 02:00, , , 23 04 53.46, -02 59 44.9,   25.45257,  355.755184,  -3.501821,  115.123309,   1.516918,  335.9056, -948.714,  119.4058,
 2052-Jan-07 03:00, , , 23 07 03.20, -02 48 54.8,   25.85246,  355.773849,  -3.446300,  114.616163,   1.516866,  335.8466, -949.056,  118.8811,
 2052-Jan-07 04:00, , , 23 09 12.98, -02 38 03.4,   26.25462,  355.792751,  -3.390408,  114.109027,   1.516815,  335.7898, -949.397,  118.3561,
 2052-Jan-07 05:00, , , 23 11 22.79, -02 27 10.8,   26.65902,  355.811889,  -3.334150,  113.601903,   1.516765,  335.7352, -949.736,  117.8308,
